ENSSHAT00000026729.1	ENSSHAG00000025161.1	NA
ENSSHAT00000031965.1	ENSSHAG00000021169.1	NA
ENSSHAT00000027558.1	ENSSHAG00000031387.1	NA
ENSSHAT00000025525.1	ENSSHAG00000021886.1	NA
ENSSHAT00000028443.1	ENSSHAG00000020793.1	NA
ENSSHAT00000048203.1	ENSSHAG00000022601.1	NA
ENSSHAT00000026404.1	ENSSHAG00000020880.1	NA
ENSSHAT00000031509.1	ENSSHAG00000026914.1	NA
ENSSHAT00000047261.1	ENSSHAG00000026429.1	NA
ENSSHAT00000035827.1	ENSSHAG00000030115.1	NA
ENSSHAT00000042870.1	ENSSHAG00000030832.1	NA
ENSSHAT00000027328.1	ENSSHAG00000022726.1	NA
ENSSHAT00000032654.1	ENSSHAG00000029998.1	NA
ENSSHAT00000050148.1	ENSSHAG00000024354.1	NA
ENSSHAT00000040801.1	ENSSHAG00000027340.1	NA
ENSSHAT00000027794.1	ENSSHAG00000022358.1	NA
ENSSHAT00000039370.1	ENSSHAG00000025324.1	NA
ENSSHAT00000029698.1	ENSSHAG00000031537.1	NA
ENSSHAT00000033751.1	ENSSHAG00000031382.1	NA
ENSSHAT00000049567.1	ENSSHAG00000023303.1	NA
ENSSHAT00000030418.1	ENSSHAG00000022651.1	NA
ENSSHAT00000050397.1	ENSSHAG00000021516.1	NA
ENSSHAT00000038012.1	ENSSHAG00000030537.1	NA
ENSSHAT00000046522.1	ENSSHAG00000026630.1	NA
ENSSHAT00000005052.2	ENSSHAG00000004378.2	NA
ENSSHAT00000044036.1	ENSSHAG00000022648.1	NA
ENSSHAT00000026127.1	ENSSHAG00000026163.1	NA
ENSSHAT00000049913.1	ENSSHAG00000024562.1	NA
ENSSHAT00000036196.1	ENSSHAG00000020907.1	NA
ENSSHAT00000007230.2	ENSSHAG00000006227.2	NA
ENSSHAT00000006471.2	ENSSHAG00000005585.2	NA
ENSSHAT00000041499.1	ENSSHAG00000023884.1	NA
ENSSHAT00000005259.2	ENSSHAG00000004556.2	NA
ENSSHAT00000043649.1	ENSSHAG00000028980.1	NA
ENSSHAT00000049213.1	ENSSHAG00000028150.1	NA
ENSSHAT00000005825.2	ENSSHAG00000032248.1	NA
ENSSHAT00000008848.2	ENSSHAG00000007600.2	NA
ENSSHAT00000033312.1	ENSSHAG00000024064.1	NA
ENSSHAT00000044928.1	ENSSHAG00000030189.1	NA
ENSSHAT00000037583.1	ENSSHAG00000030875.1	NA
ENSSHAT00000046025.1	ENSSHAG00000028189.1	NA
ENSSHAT00000045284.1	ENSSHAG00000026988.1	NA
ENSSHAT00000008263.2	ENSSHAG00000007103.2	NA
ENSSHAT00000038059.1	ENSSHAG00000025883.1	NA
ENSSHAT00000040318.1	ENSSHAG00000020645.1	NA
ENSSHAT00000045999.1	ENSSHAG00000027328.1	NA
ENSSHAT00000039131.1	ENSSHAG00000029258.1	NA
ENSSHAT00000005738.2	ENSSHAG00000004966.2	NA
ENSSHAT00000034799.1	ENSSHAG00000026681.1	NA
ENSSHAT00000050267.1	ENSSHAG00000030848.1	NA
ENSSHAT00000008353.2	ENSSHAG00000007180.2	NA
ENSSHAT00000043450.1	ENSSHAG00000029059.1	NA
ENSSHAT00000026500.1	ENSSHAG00000027154.1	NA
ENSSHAT00000050783.1	ENSSHAG00000022213.1	NA
ENSSHAT00000050238.1	ENSSHAG00000028958.1	NA
ENSSHAT00000006097.2	ENSSHAG00000005261.2	NA
ENSSHAT00000000780.2	ENSSHAG00000000687.2	NA
ENSSHAT00000030030.1	ENSSHAG00000025040.1	NA
ENSSHAT00000034548.1	ENSSHAG00000032315.1	NA
ENSSHAT00000046245.1	ENSSHAG00000024752.1	NA
ENSSHAT00000034414.1	ENSSHAG00000028808.1	NA
ENSSHAT00000052256.1	ENSSHAG00000031601.1	NA
ENSSHAT00000051857.1	ENSSHAG00000021115.1	NA
ENSSHAT00000039174.1	ENSSHAG00000022517.1	NA
ENSSHAT00000033915.1	ENSSHAG00000029062.1	NA
ENSSHAT00000032057.1	ENSSHAG00000025945.1	NA
ENSSHAT00000034956.1	ENSSHAG00000031533.1	NA
ENSSHAT00000045970.1	ENSSHAG00000028941.1	NA
ENSSHAT00000030720.1	ENSSHAG00000026998.1	NA
ENSSHAT00000040796.1	ENSSHAG00000023867.1	NA
ENSSHAT00000008442.2	ENSSHAG00000007256.2	NA
ENSSHAT00000038886.1	ENSSHAG00000023448.1	NA
ENSSHAT00000007744.2	ENSSHAG00000006673.2	NA
ENSSHAT00000031112.1	ENSSHAG00000020924.1	NA
ENSSHAT00000005599.2	ENSSHAG00000004845.2	NA
ENSSHAT00000034318.1	ENSSHAG00000025492.1	NA
ENSSHAT00000003627.2	ENSSHAG00000003153.2	NA
ENSSHAT00000009282.2	ENSSHAG00000007968.2	NA
